instance_id,scenario_id,n,method_name,feasible,cpu_time_seconds,error,objective,priority_tardiness_cost,high_priority_tardiness,max_high_priority_tardiness,p90_high_priority_tardiness,drone_served_customers,drone_share,truck_travel_cost,drone_travel_cost,waiting_sync_cost,truck_route_distance_km,drone_flight_distance_km,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,eligible_not_assigned_due_battery,makespan_minutes,number_of_drone_launches,number_of_drone_retrievals
S0002_R09,S0002,15,feasibility_aware_alns,True,5.563475132,,53.2978353182,0.0,0.0,0.0,0.0,2,0.1333333333,44.1342107551,9.1636245631,0.0,55.1677634439,30.5454152104,0.0,0.0,0.0,0.0,0.8896817884,0.8896817884,0.0,0.0,105.9009773132,1.0,1.0
S0002_R10,S0002,15,truck_only,True,0.0206782818,,24701.2223158054,24607.1616979999,101.9764356144,83.7357307955,57.5377204049,0,0.0,94.0606178055,0.0,0.0,117.5757722569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0247484918,0.0,0.0
S0002_R10,S0002,15,nils,True,0.8184914589,,114.362944515,0.0,0.0,0.0,0.0,0,0.0,114.362944515,0.0,0.0,142.9536806437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.3861891141,0.0,0.0
S0002_R10,S0002,15,feasibility_aware_alns,True,10.0290706158,,3011.1019196369,2955.3846735441,14.7769233677,14.7769233677,8.8661540206,1,0.0666666667,46.7435202638,8.973725829,0.0,58.4294003298,29.91241943,0.0,0.0,0.0,0.0,0.8546405551,0.8546405551,0.0,0.0,113.2611491191,1.0,1.0
S0003_R01,S0003,15,truck_only,True,0.0173854828,,413.6608348301,246.3511848056,227.3852932824,111.90792692,96.465833456,0,0.0,167.3096500244,0.0,0.0,209.1370625305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.8071792814,0.0,0.0
S0003_R01,S0003,15,nils,True,0.8044126034,,149.6850490951,3.5954964164,3.5954964164,3.5954964164,2.1572978498,3,0.2,132.5314728464,13.5580798323,0.0,165.664341058,45.1935994412,0.0,0.0,0.0,0.0,0.8404755049,0.8404755049,0.0,0.0,129.9995779798,1.0,1.0
S0003_R01,S0003,15,feasibility_aware_alns,True,5.6375617981,,249.0298265805,100.8219930825,100.8219930825,62.0438771086,49.4455295771,3,0.2,137.0283735553,11.1794599426,0.0,171.2854669442,37.2648664753,0.0,0.0,0.0,0.0,0.7329733211,0.7329733211,0.0,0.0,156.94312947,1.0,1.0
S0003_R02,S0003,15,truck_only,True,0.0170865059,,168.1643149471,28.109273579,28.109273579,20.4627938487,14.0546367895,0,0.0,140.0550413681,0.0,0.0,175.0688017102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.265168256,0.0,0.0
S0003_R02,S0003,15,nils,True,0.6570248604,,163.7301870117,25.7700462462,25.7700462462,20.3822552001,12.8850231231,2,0.1333333333,127.2658282862,10.6943124794,0.0,159.0822853577,35.6477082645,0.0,0.0,0.0,0.0,0.6447508854,0.6447508854,0.0,0.0,136.2228110227,1.0,1.0
S0003_R02,S0003,15,feasibility_aware_alns,True,10.0485379696,,160.6974190662,25.7700462462,25.7700462462,20.3822552001,12.8850231231,0,0.0,134.92737282,0.0,0.0,168.659216025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.2228110227,0.0,0.0
