rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.025,0.6,3.281054275271686,1092.474767799857,1093.2184615909396,0.7436937910824781,0.06807423045387204,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223959, 0.0, 96.98202567760418]",3.2348697603257897,0.04618451494589637,2260,1,3,24,True,True,False,0.42000000000000004
0.025,0.625,3.4177648700746732,1092.474767799857,1093.2184615909396,0.7436937910824781,0.06807423045387204,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223959, 0.0, 96.98202567760418]",3.2348697603257897,0.18289510974888357,2412,1,4,30,True,True,False,0.42000000000000004
0.025,0.65,3.5544754648776604,1092.02118012295,1092.3322747712082,0.3110946482581767,0.028487968358191618,"[1.0,1.0,1.0,0.0,0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.98202567760251]",3.552405251593389,0.0020702132842713716,2548,1,5,39,True,True,False,0.42000000000000004
0.05,0.2,1.0936847584238956,1255.0540541877476,1278.9527198215144,23.89866563376677,1.9041941304459298,"[0.0,0.5,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223957, 0.0, 96.98202567760437]",1.0781352055026567,0.01554955292123883,96,1,1,1,False,False,True,0.42000000000000004
0.05,0.225,1.2303953532268823,1235.7047500258436,1242.3888318189365,6.684081793092901,0.5409125272807367,"[0.0,0.75,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]",1.101236873980789,0.12915847924609336,141,1,1,1,False,False,True,0.42000000000000004
0.05,0.25,1.3671059480298693,1193.9731668643103,1199.4469149327615,5.4737480684511866,0.4584481645284122,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.98202567760356]",1.3307249161681995,0.036381031861669744,200,1,1,2,True,False,True,0.42000000000000004
0.05,0.275,1.5038165428328563,1193.9731668643103,1199.4469149327615,5.4737480684511866,0.4584481645284122,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.98202567760356]",1.3307249161681995,0.17309162666465672,268,1,1,2,True,False,True,0.42000000000000004
0.05,0.3,1.640527137635843,1154.592328317006,1171.3753006447241,16.7829723277182,1.4535842579330087,"[0.0,1.0,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223974, 0.0, 96.98202567760272]",1.5371112898774781,0.10341584775836488,354,1,1,1,True,False,True,0.42000000000000004
0.05,0.325,1.7772377324388302,1124.421817163598,1154.592328317006,30.170511153407915,2.683202219387233,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760369]",1.7434976635867565,0.0337400688520737,458,1,1,1,True,True,False,0.42000000000000004
0.05,0.35,1.913948327241817,1124.421817163598,1152.2110165584536,27.789199394855586,2.4714212202814623,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760369]",1.7434976635867565,0.17045066365506045,577,1,1,1,True,True,False,0.42000000000000004
