rho,perturbed_corridor_index,corridor_id,cost_multiplier,objective,second_objective,margin_percent,selected_y_json,perturbed_budget_used,perturbed_budget_slack,feasible_tier_count,corridor_2_full,corridor_3_full
0.075,1,corr_kanazawa_nanao,0.9,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.079056385353039,0.2176816073371417,1071,True,True
0.075,1,corr_kanazawa_nanao,1.1,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1536249901899907,0.14311300250018988,925,True,True
0.075,1,corr_kanazawa_nanao,1.2,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.190909292608467,0.10582870008171374,877,True,True
0.075,2,corr_nanao_anamizu,0.8,1142.8256646126827,1143.1984510109755,0.032619708310384826,"[0.25,1.0,1.0,0.0,0.25]",2.2502857452891853,0.046452247400995184,1099,True,True
0.075,2,corr_nanao_anamizu,0.9,1143.1984510109755,1143.3408296171401,0.012454408597096433,"[0.25,1.0,1.0,0.25,0.0]",2.2653984875773734,0.03133950511280714,1044,True,True
0.075,2,corr_nanao_anamizu,1.1,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.208135904646479,0.08860208804370151,945,True,True
0.075,2,corr_nanao_anamizu,1.2,1145.3965056173017,1145.7692040173758,0.032538810642979164,"[0.0,1.0,1.0,0.0,0.25]",2.2446235886042842,0.05211440408589629,904,True,True
0.075,3,corr_anamizu_wajima,0.8,1142.8256646126827,1143.1984510109755,0.032619708310384826,"[0.25,1.0,1.0,0.0,0.25]",2.2687670800716915,0.027970912618489052,1085,True,True
0.075,3,corr_anamizu_wajima,0.9,1143.1984510109755,1143.3408296171401,0.012454408597096433,"[0.25,1.0,1.0,0.25,0.0]",2.274639154968626,0.02209883772155452,1036,True,True
0.075,3,corr_anamizu_wajima,1.1,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1988952372552264,0.09784275543495413,949,True,True
0.075,3,corr_anamizu_wajima,1.2,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.2814497867389374,0.015288205951243139,910,True,True
0.075,4,corr_anamizu_noto,0.8,1143.3408296171401,1145.2565479160994,0.16755443777869716,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1100,True,True
0.075,4,corr_anamizu_noto,0.9,1143.3408296171401,1145.2565479160994,0.16755443777869716,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1047,True,True
0.075,4,corr_anamizu_noto,1.1,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,945,True,True
0.075,4,corr_anamizu_noto,1.2,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,895,True,True
0.075,5,corr_anamizu_suzu,0.8,1143.3408296171401,1144.9527776249265,0.1409857818447867,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1132,True,True
0.075,5,corr_anamizu_suzu,0.9,1143.3408296171401,1145.2565479160994,0.16755443777869716,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,1061,True,True
0.075,5,corr_anamizu_suzu,1.1,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,937,True,True
0.075,5,corr_anamizu_suzu,1.2,1143.3408296171401,1145.3965056173017,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]",2.1163406877715145,0.180397304918666,877,True,True
0.1,1,corr_kanazawa_nanao,0.8,1159.5674871687659,1159.7102992138502,0.01231597528084179,"[0.25,1.0,1.0,0.25,0.0]",2.2826250996153856,0.014112893074794908,1152,True,True
0.1,1,corr_kanazawa_nanao,0.9,1159.7102992138502,1161.706179519288,0.17210162803510487,"[0.25,1.0,1.0,0.0,0.0]",2.079056385353039,0.2176816073371417,1071,True,True
0.1,1,corr_kanazawa_nanao,1.1,1159.7102992138502,1161.706179519288,0.17210162803510487,"[0.25,1.0,1.0,0.0,0.0]",2.1536249901899907,0.14311300250018988,925,True,True
0.1,1,corr_kanazawa_nanao,1.2,1159.7102992138502,1161.706179519288,0.17210162803510487,"[0.25,1.0,1.0,0.0,0.0]",2.190909292608467,0.10582870008171374,877,True,True
0.1,2,corr_nanao_anamizu,0.8,1158.921949774824,1159.5674871687659,0.05570154177054363,"[0.25,1.0,1.0,0.0,0.25]",2.2502857452891853,0.046452247400995184,1099,True,True
